Key,English
Pocket.Farma_level 3,A health to stop bullets. Lesser healing for everyone alongside 2 shields. Three times per dungeon.
Pocket.Ras' bro_level 1,More coins! Single use per dungeon.
Pocket.Ras' bro_level 2,More coins! Twice per dungeon.
Pocket.Ras' bro_level 3,More coins! Thrice times per dungeon.
Pocket.D' tweny_level 1,Pray to the RNG gods. Drops a random weapon. Single use per dungeon.
Pocket.D' tweny_level 2,Pray to the RNG gods. Drops a random weapon. Single use per dungeon.
Pocket.D' tweny_level 3,Pray to the RNG gods. Drops a random weapon. Single use per dungeon.
Pocket.Walker_level 1,At what cost? Drops a weapon and a power-up. Single use per dungeon.
Pocket.Walker_level 2,At what cost? Drops a weapon and a power-up. Single use per dungeon.
Pocket.Walker_level 3,"You've shielded yourself from the world or is it the opposite? Drops a weapon, a power-up and a shield. Single use per dungeon."
Pocket.Eve' Lyng_level 1,"Everything you need. Drops multiple items, one of each type. Single use per dungeon."
Pocket.Eve' Lyng_level 2,Flying everywhere you want to be. Drops multiple items and 2 shields. Single use per dungeon. 
Pocket.Eve' Lyng_level 3,All at Once. Drops multiple items and 3 shields. Single use per dungeon. 
Pocket.Gyver_level 1,It's never too much. Shield and power-up drop.
Pocket.Gyver_level 2,It's never too much. Shield and power-up drop.
Pocket.Gyver_level 3,It's never too much. Shield and power-up drop.
Pocket.Lez_level 1,"Healing for everyone! Lesser healing, can be used 3 times per dungeon."
Pocket.Lez_level 2,"Healing for everyone! Lesser healing, can be used 4 times per dungeon."
Pocket.Lez_level 3,"Healing for everyone! Lesser healing with a shield, can be used 5 times per dungeon."
Pocket.Chak' Was_level 1,It's a + plus. Lesser increasing on the life total. Single use per dungeon.
Pocket.Chak' Was_level 2,It's a + plus. Lesser increasing on the life total. Single use per dungeon.
Pocket.Chak' Was_level 3,It's a + plus. Lesser increasing on the life total. Two uses per dungeon.
Pocket.Dok_level 1,For everyone. Lesser healing for secondary Pockets. 2 uses per dungeon.
Pocket.Dok_level 2,For everyone. Lesser healing for secondary Pockets. 3 uses per dungeon.
Pocket.Dok_level 3,For everyone. Lesser healing for secondary Pockets. 4 uses per dungeon.
Pocket.Riccle_level 1,Rise and shine! Recovery all HP once per dungeon.
Pocket.Riccle_level 2,Rise and shine! Recovery all HP once per dungeon.
Pocket.Riccle_level 3,Rise and shine! Recovery all HP once per dungeon.
Pocket.Ay Seeyu_level 1,Urgent care. Higher speed and minor healing.
Pocket.Ay Seeyu_level 2,Urgent care. Higher speed and minor healing.
Pocket.Ay Seeyu_level 3,Urgent care. Higher speed and minor healing.
Pocket.Farah_level 1,Higher damage with minor healing
Pocket.Farah_level 2,Higher damage with minor healing
Pocket.Farah_level 3,Higher damage with minor healing
Pocket.Eh' Gify_level 1,The Pocket protects. Minor healing with a shield.
Pocket.Eh' Gify_level 2,The Pocket protects. Minor healing with a shield.
Pocket.Eh' Gify_level 3,The Pocket protects. Minor healing with a shield.
Pocket.Anng_level 1,"Everything changed when the Monsters attacked! You hover on the ground, passing holes and ground hazards."
Pocket.Anng_level 2,"Only the Caretakers can master all Pockets! You hover on the ground, passing holes and ground hazards."
Pocket.Anng_level 3,"But I believe YOU can save the world! You hover on the ground, passing holes and ground hazards."
Pocket.Ike_level 1,Deflect one projectile and vampirism!
Pocket.Ike_level 2,Deflects enemies' projectiles... and still vampirism!
Pocket.Ike_level 3,Deflects everything... including vampirism!
Pocket.Ziggy_level 1,Blow some minds. Invulnerability and heavily increased damage. Single use per dungeon.
Pocket.Ziggy_level 2,Blow some minds. Invulnerability and heavily increased damage. Single use per dungeon.
Pocket.Ziggy_level 3,Blow some minds. Invulnerability and heavily increased damage. Single use per dungeon.
Pocket.But' Ler_level 1,Just a reflection. Momentary invulnerability.
Pocket.But' Ler_level 2,Just a reflection. Momentary invulnerability.
Pocket.But' Ler_level 3,Just a reflection. Momentary invulnerability.
Pocket.Barny_level 1,Suit up! Prevent the next 2 hits!
Pocket.Barny_level 2,Suit up! Prevent the next 3 hits!
Pocket.Barny_level 3,Legen~dary suit up! Prevent the next 4 hits!
Pocket.EggName,Egg
Pocket.EggDescription,"It might be frail now, but it may yet hatch the indomitable hope of a better world."
